PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DFT_YR,DFT_RND,DFT_NUM
Emmanuel Mudiay,NYK,23,6 5,200,None,Democratic Re...,2015,1,7
Enes Kanter,POR,27,6 11,250,Kentucky,Turkey,2011,1,3
Eric Bledsoe,MIL,29,6 1,205,Kentucky,USA,2010,1,18
Eric Gordon,HOU,30,6 4,215,Indiana,USA,2008,1,7
Eric Moreland,TOR,27,6 10,238,Oregon State,USA,Undrafted,Undrafted,Undrafted
Ersan Ilyasova,MIL,32,6 10,235,None,Turkey,2005,2,36
Evan Fournier,ORL,26,6 7,205,None,France,2012,1,20
Evan Turner,POR,30,6 7,220,Ohio State,USA,2010,1,2
Frank Jackson,NOP,21,6 3,205,Duke,USA,2017,2,31
Frank Kaminsky,CHA,26,7 1,242,Wisconsin,USA,2015,1,9
Frank Mason,SAC,25,5 11,190,Kansas,USA,2017,2,34
Frank Ntilikina,NYK,20,6 6,200,None,France,2017,1,8
Fred VanVleet,TOR,25,6 1,195,Wichita State,USA,Undrafted,Undrafted,Undrafted
Furkan Korkmaz,PHI,21,6 7,190,None,Turkey,2016,1,26
Garrett Temple,LAC,33,6 6,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted
Gary Clark,HOU,24,6 8,225,None,USA,Undrafted,Undrafted,Undrafted
Gary Harris,DEN,24,6 4,210,Michigan State,USA,2014,1,19
Gary Payton II,WAS,26,6 3,190,Oregon State,USA,Undrafted,Undrafted,Undrafted
Gary Trent Jr.,POR,20,6 6,205,None,USA,Undrafted,Undrafted,Undrafted
George Hill,MIL,33,6 3,188,IUPUI,USA,2008,1,26
George King,PHX,25,6 6,220,University of Colorado Boulder,USA,2018,2,59
Georges Niang,UTA,26,6 8,230,Iowa State,USA,2016,2,50
Gerald Green,HOU,33,6 7,205,None,USA,2005,1,18
Giannis Antetokounmpo,MIL,24,6 11,242,None,Greece,2013,1,15
